Restaurant ID;Restaurant Name;Country;City;Address;Locality Verbose;Longitude;Latitude;Cuisines;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;Nummber of dishes in cuisines;Average cost of two in USD
846;Bamboo Chopstix;India;New Delhi;21, Yashwant Place, Food Plaza, Chanakyapuri, New Delhi;Chanakyapuri, New Delhi;77.1916048;28.5842999;Chinese, North Indian;Indian Rupees(Rs.);0;0;0;0;2;2.7;2.95;2;8;2;8.162
18037824;Bamboo House;India;Gurgaon;Shop 97, HUDA Market, Sector 46, Near Sector 45, Gurgaon;Sector 45, Gurgaon;77.0593066;28.4351572;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;2;3.4;2.95;2;64;2;6.413
18384121;Bamboo Hut;India;New Delhi;298 Humayunpur, B6 DDA Market, Safdarjung, New Delhi;Safdarjung, New Delhi;77.195856;28.559151;Naga, Tibetan;Indian Rupees(Rs.);0;1;0;0;2;3.4;2.95;2;15;2;5.83
3306;Bamboo Shoots;India;Noida;F-2/3, Sector 18, Noida;Sector 18, Noida;77.32396636;28.57153949;Chinese, Seafood, Asian;Indian Rupees(Rs.);1;1;0;0;3;3.9;3.7;3;515;3;18.656
18420456;Band Baaja Baaraat;India;New Delhi;A-6 Ground Floor, Vishal Enclave, Rajouri Garden, New Delhi;Rajouri Garden, New Delhi;77.1192507;28.647609;North Indian;Indian Rupees(Rs.);1;0;0;0;3;4.6;4.65;5;128;1;15.158
18463954;Bandhani Fast Food;India;Gurgaon;353, Udyog Vihar, Gurgaon;Udyog Vihar, Gurgaon;77.0823439;28.501278;North Indian;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;1;3.498
17259335;Bandit Burrito;USA;Des Moines;5340 Merle Hay Road, Johnston, IA 50131;Johnston, Des Moines;-93.6976773;41.6714654;Breakfast, Mexican, Southwestern;Dollar($);0;0;0;0;1;4.0;4.25;4;214;3;10.0
18222563;Bandstand;India;New Delhi;214, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi;Hauz Khas, New Delhi;77.2033238;28.5523954;European, Continental;Indian Rupees(Rs.);1;0;0;0;3;3.3;2.95;2;339;2;19.822
18373560;Bangali Restaurant;India;Noida;Shop 4, Opposite Value Bazaar, Sector 44, Noida;Sector 44, Noida;77.3374228;28.5541271;North Indian, Mughlai, Chinese;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;1;3;5.83
8169;Bangali Sweets & Restaurant;India;Faridabad;6, Plot 17, New DLF, Indraprastha Colony, Faridabad;Indraprastha Colony, Faridabad;77.3153578;28.4534629;Mithai;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;2;1;1.166
311758;Bangkok 1;India;Gurgaon;FC-10B, 3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon;MGF Metropolitan Mall, MG Road, Gurgaon;77.0802124;28.4802521;Thai;Indian Rupees(Rs.);0;0;0;0;2;3.3;2.95;2;40;1;6.413
9316;Bangla Sweet Corner;India;New Delhi;32 & 32/A, Khanna Market, Lodhi Colony, New Delhi;Lodhi Colony, New Delhi;77.220711;28.582058;Chinese, North Indian, Mithai, Street Food;Indian Rupees(Rs.);0;0;0;0;1;2.6;2.95;2;32;4;4.664
18430600;Bangla Sweets;India;New Delhi;A-2, Near Metro Pillar 329, Kirti Nagar, New Delhi;Kirti Nagar, New Delhi;77.1380354;28.6550605;Mithai, North Indian, South Indian, Chinese, Bakery;Indian Rupees(Rs.);0;1;0;0;1;3.3;2.95;2;13;5;5.247
